,Title,Year,Age,IMDb,Netflix,Genres,Country,Language
2787,Wannabe Courageous,2019,,5.7,1.0,Comedy,Egypt,Arabic
2796,Rainbow Jelly,2018,,7.1,1.0,Drama,India,Bangla
2805,Tootsies & The Fake,2019,,5.8,1.0,Comedy,Thailand,Thai
2808,Lee Su-geun: The Sense Coach,2021,,4.0,1.0,Comedy,South Korea,Korean
2809,Thottappan,2019,,7.0,1.0,Drama,India,Malayalam
2811,Urzila Carlson: Overqualified Loser,2020,,6.2,1.0,Comedy,Australia,English
2815,Soy Rada: Serendipia,2021,,5.8,1.0,Comedy,Argentina,Spanish
2821,Chris Rock Total Blackout: The Tamborine Extended Cut,2021,,7.1,1.0,Comedy,United States,English
2823,Sugar High,2020,-18,7.3,1.0,Reality-TV,United States,English
2826,Franco Escamilla: bienvenido al mundo,2019,18,7.1,1.0,Comedy,Mexico,Spanish
2828,Larry The Cable Guy: Remain Seated,2020,18,6.7,1.0,Comedy,United States,English
2840,Mutiny of the Worker Bees,2020,18,4.1,1.0,Comedy,Mexico,Spanish
2842,Evening Shadows,2018,,7.1,1.0,Drama,India,Hindi
2845,Mere Pyare Prime Minister,2019,,6.8,1.0,Drama,India,English
2846,Deliha 2,2018,-18,4.5,1.0,Comedy,Turkey,Turkish
2850,Vir Das: Outside in - The Lockdown Special,2020,,6.9,1.0,Comedy,India,English
2854,Hazel Brugger: Tropical,2020,,6.4,1.0,Comedy,Germany,German
2860,Hometown Holiday,2018,-18,5.1,1.0,Romance,Canada,English
2872,Holly Star,2018,-18,5.2,1.0,Comedy,United States,English
2879,Girl's Revenge,2020,,5.6,1.0,Drama,Taiwan,Mandarin
2882,El club de los buenos infieles,2018,,5.6,1.0,Comedy,Spain,Spanish
2890,Ma Rainey's Black Bottom: A Legacy Brought to Screen,2020,-18,,1.0,,,
2894,Andre and His Olive Tree,2020,,6.7,1.0,Documentary,Singapore,English
2900,Wira,2019,,6.3,1.0,Action,Malaysia,Malay
2909,Adel Karam: Live from Beirut,2018,18,5.4,1.0,Comedy,United States,Arabic
2914,Sethum Aayiram Pon,2019,-18,7.2,1.0,Family,India,Tamil
2924,No Place Like Home,2019,-18,4.4,1.0,Comedy,United Kingdom,English
2927,Chhota Bheem - Neeli Pahaadi,2021,,7.4,1.0,Animation,,
2933,Miranda Sings Live... Your Welcome.,2019,,5.5,1.0,Comedy,United States,English
2937,Fary Is the New Black,2018,18,6.0,1.0,Comedy,France,French
2946,Katherine Ryan: Glitter Room,2019,,6.0,1.0,Comedy,United States,English
2954,Undercover Brother 2,2019,18,3.4,1.0,Comedy,United States,English
2957,Deviant Love,2019,-18,3.6,1.0,Thriller,United States,English
2960,Generation Iron 3,2018,,6.2,1.0,Documentary,United States,
2972,Rogue Warfare: Death of a Nation,2020,18,3.2,1.0,Action,United States,English
2976,Loyiso Gola: Unlearning,2021,-18,5.9,1.0,Comedy,South Africa,
2981,Firebrand,2019,,5.2,1.0,,,
